dataset,method,kld_mean,kld_max,prop_significant,corr_diff,corr_max_diff,nn_dist_mean,nn_dist_median,nn_real_mean,nn_ratio,tstr_f1,trtr_f1,utility_gap
HIV,bootstrap,0.7563190040446943,2.750576452299147,0.0,0.07201896816404954,0.3465457522233775,4.067749498542501e-05,0.0,1711.8170172722785,2.376275885505753e-08,0.9927007299270073,0.9644444444444444,-0.02825628548256287
HIV,gmm,1.1819008957824335,3.9894796645117507,0.031746031746031744,0.07920406623012581,1.0455204308638417,2127.6322088555976,1963.1453857421875,1711.8170172722785,1.2429086680338686,0.9855072463768116,0.9644444444444444,-0.021062801932367203
HIV,cvae,2.392873870641354,8.607977363598048,0.20634920634920634,0.1378026110883252,0.6096779488421997,1658.9430904178828,1646.529052734375,1711.8170172722785,0.9691123955884908,0.9629629629629629,0.9644444444444444,0.001481481481481528
HIV,iid_columnwise,0.8135770000920971,2.752853766370145,0.0,0.29596180765081737,1.0765960715739349,2875.7291278049456,2802.1978499663765,1711.8170172722785,1.6799278770971218,0.9850746268656716,0.9644444444444444,-0.02063018242122716
breast_cancer,bootstrap,0.08753558476030567,0.1731493744128512,0.0,0.02877527631672049,0.15436491609412295,2.0021097145652706e-06,0.0,30.394850946268843,6.587002904223954e-08,0.9860335195530726,0.9691874012188789,-0.016846118334193694
breast_cancer,gmm,0.27586910355204314,1.2381690281682804,0.0,0.07563021133724834,0.6112083475979505,29.7758807151305,16.458576202392578,30.394850946268843,0.9796356878922506,0.9549295774647887,0.9691874012188789,0.014257823754090238
breast_cancer,cvae,0.34384835858806945,0.7790897503807162,0.16666666666666666,0.06464405749103276,0.25178456850020997,23.057093786648583,15.687628746032715,30.394850946268843,0.758585519218642,0.9737206085753803,0.9691874012188789,-0.004533207356501423
breast_cancer,iid_columnwise,0.08299599183572129,0.2639751192385581,0.0,0.19953733776453197,0.8257336227137453,124.58492278954843,74.70082831530146,30.394850946268843,4.098882505125165,0.9586776859504132,0.9691874012188789,0.01050971526846567
diabetes,bootstrap,0.05056738160316912,0.14397439585150026,0.0,0.02331384969987969,0.065744913864847,0.0,0.0,14.359372205780195,0.0,0.8682170542635659,0.6099210346191201,-0.2582960196444458
diabetes,gmm,0.4548993160498357,0.9444473395722857,0.125,0.026617387363545783,0.08769128696917258,19.433947307340564,16.746011892458682,14.359372205780195,1.3533981171905036,0.6222222222222222,0.6099210346191201,-0.01230118760310217
diabetes,cvae,0.5166165432150941,1.0957329796297326,0.5,0.06664546882217508,0.2296036029955856,15.929139627709182,14.455366422073501,14.359372205780195,1.1093200593614458,0.6435845213849287,0.6099210346191201,-0.03366348676580866
diabetes,iid_columnwise,0.04423365274527623,0.08440679025984199,0.0,0.1402067115871095,0.5027796164033768,18.535828517352257,15.690298762181886,14.359372205780195,1.2908522915709977,0.6457925636007827,0.6099210346191201,-0.03587152898166268
